Week,Query,Page,Clicks,Impressions,CTR,Position
3,irrigation intelligente,https://www.discoverthegreentech.com/definitions/irrigation-intelligente/,5,25,0.2,4.04
3,circuit de production,https://www.discoverthegreentech.com/circuits-courts-de-distribution/,3,11,0.2727272727272727,1.3636363636363638
3,electrolyse haute température,https://www.blog.discoverthegreentech.com/electrolyse-haute-temperature-cea/,3,14,0.21428571428571427,3.5
3,les hydrures métalliques,https://www.hydrogene.discoverthegreentech.com/stockage/hydrures-metalliques/,3,20,0.15,2.35
3,projet genvia,https://www.discoverthegreentech.com/genvia-industrialiser-des-electrolyseurs-a-oxyde-solide-a-haute-performance/,3,8,0.375,7.75
3,rendement electrolyseur,https://www.blog.discoverthegreentech.com/electrolyse-haute-temperature-cea/,3,14,0.21428571428571427,7.785714285714286
3,électrolyseur alcalin,https://www.hydrogene.discoverthegreentech.com/production-hydrogene/electrolyse/alcaline/,3,12,0.25,1.3333333333333333
3,biosourcing,https://www.discoverthegreentech.com/definitions/biosourcing/,2,18,0.1111111111111111,3.1666666666666665
3,hindenburg,https://www.blog.discoverthegreentech.com/crash-hindenburg-1937/,2,248,0.008064516129032258,12.22983870967742
3,hydrogène liquide,https://www.discoverthegreentech.com/hydrogene/atome/hydrogene-liquide/,2,165,0.012121212121212121,10.16969696969697
3,hydrures métalliques hydrogène,https://www.hydrogene.discoverthegreentech.com/stockage/hydrures-metalliques/,2,11,0.18181818181818182,2.1818181818181817
3,rendement electrolyse,https://www.blog.discoverthegreentech.com/electrolyse-haute-temperature-cea/,2,22,0.09090909090909091,4.636363636363637
3,ballon hydrogène,https://www.blog.discoverthegreentech.com/crash-hindenburg-1937/,1,30,0.03333333333333333,13.433333333333334
3,circuit court définition,https://www.discoverthegreentech.com/syntheses/circuits-courts/definition-circuits-courts/,1,160,0.00625,12.85625
3,circuits courts de production,https://www.discoverthegreentech.com/circuits-courts-de-distribution/,1,4,0.25,5
3,circuits courts définition,https://www.discoverthegreentech.com/syntheses/circuits-courts/definition-circuits-courts/,1,18,0.05555555555555555,9.88888888888889
3,climat : comment éviter un désastre,https://www.blog.discoverthegreentech.com/bill-gates-climat-comment-eviter-un-desastre/,1,1,1,49
3,définition circuit court,https://www.discoverthegreentech.com/syntheses/circuits-courts/definition-circuits-courts/,1,57,0.017543859649122806,9.421052631578947
3,electrolyse alcaline,https://www.hydrogene.discoverthegreentech.com/production-hydrogene/electrolyse/alcaline/,1,8,0.125,1
3,electrolyse alcaline de l'eau,https://www.hydrogene.discoverthegreentech.com/production-hydrogene/electrolyse/alcaline/,1,4,0.25,1
3,electrolyse rendement,https://www.blog.discoverthegreentech.com/electrolyse-haute-temperature-cea/,1,9,0.1111111111111111,1
3,electrolyseur alcalin,https://www.hydrogene.discoverthegreentech.com/production-hydrogene/electrolyse/alcaline/,1,4,0.25,1.5
3,explosion hindenburg,https://www.blog.discoverthegreentech.com/crash-hindenburg-1937/,1,5,0.2,4.8
3,haber bosch,https://www.blog.discoverthegreentech.com/procede-haber-bosch-nourrir-la-terre/,1,52,0.019230769230769232,8.346153846153847
3,histoire de l'hydrogène,https://www.discoverthegreentech.com/hydrogene/histoire/,1,6,0.16666666666666666,7.666666666666667
3,hydrure métallique,https://www.hydrogene.discoverthegreentech.com/stockage/hydrures-metalliques/,1,43,0.023255813953488372,2.9767441860465116
3,hydrure métallique stockage hydrogène,https://www.hydrogene.discoverthegreentech.com/stockage/hydrures-metalliques/,1,6,0.16666666666666666,4.166666666666666
